read_code,read_term
H5105,Basal pleurisy
H5106,Chronic dry pleurisy
H5107,Fibrinous pleurisy
H5108,Sterile pleurisy
H5109,Pneumococcal pleurisy
H510A,Staphylococcal pleurisy
H510B,Streptococcal pleurisy
H510z,Pleurisy without effusion or active tuberculosis NOS
H511.,Bacterial pleurisy with effusion
H5110,Pneumococcal pleurisy with effusion
H5111,Staphylococcal pleurisy with effusion
H5112,Streptococcal pleurisy with effusion
H511z,Bacterial pleurisy with effusion NOS
H51y.,Other pleural effusion excluding mention of tuberculosis
H51y0,Encysted pleurisy
H51yz,Other pleural effusion
H51z.,Pleural effusion NOS
H51z0,Exudative pleurisy NOS
H51z1,Serofibrinous pleurisy NOS
H51z2,Serous pleurisy NOS
H51zz,Pleural effusion NOS
H53..,Abscess of lung and mediastinum
H530.,Abscess of lung
H5300,Single lung abscess
H5301,Multiple lung abscess
H5302,Gangrenous pneumonia
H5303,Abscess of lung with pneumonia
H530z,Abscess of lung NOS
H531.,Abscess of mediastinum
H53z.,Abscess of lung and mediastinum NOS
H54..,Pulmonary congestion and hypostasis
H5400,Hypostatic pneumonia
H5401,Hypostatic bronchopneumonia
H55..,Postinflammatory pulmonary fibrosis
H56..,Other alveolar and parietoalveolar disease
H560.,Pulmonary alveolar proteinosis
H561.,Idiopathic pulmonary haemosiderosis
H562.,Pulmonary alveolar microlithiasis
H563.,Idiopathic fibrosing alveolitis
H5630,Alveolar capillary block
H5631,Diffuse pulmonary fibrosis
H563z,Idiopathic fibrosing alveolitis NOS
H56y.,Other alveolar and parietoalveolar disease
H56y0,Endogenous lipoid pneumonia
H56y1,Interstitial pneumonia
H56yz,Other alveolar and parietoalveolar disease NOS
H56z.,Alveolar and parietoalveolar disease NOS
H57..,Lung involvement in diseases EC
H570.,Rheumatoid lung
H571.,Rheumatic pneumonia
H572.,Lung disease with systemic sclerosis
H57y.,Lung disease with diseases EC
H57y0,Pulmonary amyloidosis
H57y1,Lung disease with polymyositis
H57y2,Pulmonary sarcoidosis
H57y3,Lung disease with Sjogren's disease
H57y4,Lung disease with systemic lupus erythematosus
H57y5,Lung disease with syphilis
H57yz,Lung disease with diseases EC NOS
H58..,Other diseases of lung
H5800,Post operative atelectasis
H581.,Interstitial emphysema
H582.,Compensatory emphysema
H583.,Pulmonary eosinophilia
H5830,Loeffler's syndrome
H5831,Tropical eosinophilia
H5832,Eosinophilic bronchitis
H583z,Pulmonary eosinophilia NOS
H5853,Adult respiratory distress syndrome
H585z,Trauma and post-operative pulmonary insufficiency NOS
H58y.,Other lung disease NEC
H58y0,Broncholithiasis
H58y1,Calcification of lung
H58y2,Pulmolithiasis
H58y3,Interstitial lung disease NEC
H58y4,Squamous metaplasia of lung
H58yz,Other lung disease NEC NOS
H58z.,Lung disease NOS
H59..,Respiratory failure
H590.,Acute respiratory failure
H591.,Chronic respiratory failure
H593.,Chronic type 2 respiratory failure
H5X..,Pleural condition, unspecified
H5y..,Other specified diseases of respiratory system
H5y16,Bronchospasm
H5y1z,Diseases of trachea and bronchus NEC NOS
H5yy.,Other diseases of respiratory system NEC
H5yz.,Other diseases of respiratory system NOS
H5z..,Respiratory system diseases NOS
Hy...,Other specified diseases of respiratory system
Hy0..,Postprocedural respiratory disorders
Hy00.,Acute pulmonary insufficiency following thoracic surgery
Hy01.,Acute pulmonary insufficiency following nonthoracic surgery
Hy02.,Chronic pulmonary insufficiency following surgery
Hy03.,Postprocedural subglottic stenosis
Hy04.,Postprocedural respiratory failure
Hy0y.,Other post procedural respiratory disorder
Hyu..,[X]Additional respiratory disease classification terms
Hyu03,[X]Other acute upper respiratory infections/multiple sites
Hyu04,[X]Flu+oth respiratory manifestations,'flu virus identified
Hyu05,[X]Influenza+other manifestations,influenza virus identified
Hyu06,[X]Influenza+oth respiratory manifestatns,virus not identifd
Hyu07,[X]Influenza+other manifestations, virus not identified
Hyu08,[X]Other viral pneumonia
Hyu09,[X]Pneumonia due to other aerobic gram-negative bacteria
Hyu0A,[X]Other bacterial pneumonia
Hyu0B,[X]Pneumonia due to other specified infectious organisms
Hyu0C,[X]Pneumonia in bacterial diseases classified elsewhere
Hyu0D,[X]Pneumonia in viral diseases classified elsewhere
Hyu0E,[X]Pneumonia in mycoses classified elsewhere
Hyu0F,[X]Pneumonia in parasitic diseases classified elsewhere
Hyu0G,[X]Pneumonia in other diseases classified elsewhere
Hyu0H,[X]Other pneumonia, organism unspecified
Hyu1.,[X]Other acute lower respiratory infections
Hyu10,[X]Acute bronchitis due to other specified organisms
Hyu11,[X]Acute bronchiolitis due to other specified organisms
Hyu3.,[X]Chronic lower respiratory diseases
Hyu30,[X]Other emphysema
Hyu31,[X]Other specified chronic obstructive pulmonary disease
Hyu4.,[X]Lung diseases due to external agents
Hyu40,[X]Pneumoconiosis due to other dust containing silica
Hyu41,[X]Pneumoconiosis due to other specified inorganic dusts
Hyu42,[X]Airway disease due to other specific organic dusts
Hyu43,[X]Hypersensitivity pneumonitis due to other organic dusts
Hyu44,[X]Upper resp inflammation/chemicals,gases,fumes,vapours,NEC
Hyu45,[X]Oth acute+subacute resp condtns/chemical,gas,fume+vapours
Hyu46,[X]Othr respiratory conditions/chemicals,gases,fumes+vapours
Hyu47,[X]Pneumonitis due to inhalation of other solids and liquids
Hyu48,[X]Chronic+other pulmonary manifestations due to radiation
Hyu49,[X]Respiratory conditions/other specified external agents
Hyu4A,[X]Respiratory conditions due to unspecified external agent
Hyu5.,[X]Other resp diseases principally affecting interstitium
Hyu50,[X]Other interstitial pulmonary diseases with fibrosis
Hyu51,[X]Other specified interstitial pulmonary diseases
Hyu6.,[X]Suppurative & necrotic conditions of lower respir tract
Hyu7.,[X]Other diseases of the pleura
Hyu70,[X]Pleural effusion in conditions classified elsewhere
Hyu73,[X]Other specified pleural conditions
Hyu74,[X]Pleural condition, unspecified
Hyu8.,[X]Other diseases of the respiratory system
Hyu80,[X]Other postprocedural respiratory disorders
Hyu81,[X]Other disorders of lung
Hyu82,[X]Other specified respiratory disorders
Hyu83,[X]Resp disorders/other diffuse connectv tissue disorders CE
Hyu84,[X]Respiratory disorders in other diseases CE
Hz...,Respiratory system diseases NOS
Q30..,Respiratory distress syndrome
Q310.,Congenital pneumonia
Q3100,Congenital pneumonia due to staphylococcus
Q3101,Congenital pneumonia due to group A haemolytic streptococcus
Q3102,Congenital pneumonia due to group B haemolytic streptococcus
Q3103,Congenital pneumonia due to Escherichia coli
Q3104,Congenital pneumonia due to pseudomonas
Q3105,Congenital pneumonia due to viral agent
Q3106,Congenital pneumonia due to Chlamydia
Q310y,Other specified congenital pneumonia
Q310z,Congenital pneumonia NOS
Qyu31,[X]Congenital pneumonia due to other bacterial agents
Qyu32,[X]Congenital pneumonia due to other organisms
R06..,[D]Respiratory system and chest symptoms
R060.,[D]Respiratory abnormalities
R0600,[D]Respiratory symptom, unspecified
R0601,[D]Hyperventilation
R0603,[D]Tachypnoea
R0606,[D]Respiratory distress
R0607,[D]Respiratory insufficiency
R0608,[D]Shortness of breath
R0609,[D]Wheezing
R060A,[D]Dyspnoea
R060D,[D]Breathlessness
R060z,[D]Respiratory abnormalities NOS
R061.,[D]Stridor
R062.,[D]Cough
R0631,[D]Pulmonary haemorrhage NOS
R063z,[D]Haemoptysis NOS
R064.,[D]Abnormal sputum
R0640,[D]Sputum abnormal - amount
R0641,[D]Sputum abnormal - colour
R0642,[D]Sputum abnormal - odour
R0643,[D]Abnormal sputum - tenacious
R064z,[D]Abnormal sputum NOS
R067.,[D]Abnormal chest sounds
R0670,[D]Percussion of chest abnormal
R0671,[D]Friction sounds, chest
R0672,[D]Rales
R0673,[D]Tympany, chest
R067z,[D]Abnormal chest sounds NOS
R068.,[D]Hiccough
R06z.,[D]Other respiratory system and chest symptoms
R06z0,[D]Breath-holding spell
R06zz,[D]Respiratory system and chest symptoms NOS
R1422,[D]Vital capacity reduced
SP131,Other aspiration pneumonia as a complication of care
SP132,Post operative chest infection
TJF7z,Adverse reaction to antiasthmatic NOS
U60F6,[X]Antiasthmats caus adverse effects in therapeut use, NEC
Ua1AX,Brittle asthma
X1004,Infection of lower respiratory tract
X1006,Chest infection - unspecified bronchitis
X1007,Acute bacterial bronchitis
X1009,Acute mycoplasmal bronchitis
X100A,Acute chlamydial bronchitis
X100B,Acute viral bronchitis
X100C,Acute viral bronchiolitis
X100D,Acute bronchiolitis due to adenovirus
X100E,Pneumonia
X100G,Atypical pneumonia
X100H,Bacterial pneumonia
X100J,Pneumococcal pneumonia
X100K,Pneumonic plague
X100L,Meningococcal pneumonia
X100M,Bronchopneumonia
X100N,Chlamydial pneumonia
X100O,Neonatal chlamydial pneumonia
X100R,Fungal pneumonia
X100S,Pulmonary mucormycosis
X100V,Chronic pulmonary coccidioidomycosis
X100W,Pulmonary blastomycosis
X100X,Haemorrhagic pneumonia
X100Y,Mycobacterial pneumonia
X100d,Rickettsial pneumonia
X100e,Glandular fever pneumonia
X100g,Herpes simplex pneumonia
X100h,Giant cell pneumonia
X100j,Chronic bronchial sepsis
X101i,Chron obstruct pulmonary dis wth acute exacerbation, unspec
X101j,Occupational chronic bronchitis
X101k,Byssinosis grade 3
X101n,Pulmonary emphysema
X101o,Pulmonary emphysema in alpha-1 PI deficiency
X101q,Congenital lobar emphysema
X101r,Scar emphysema
X101t,Childhood asthma
X101u,Late onset asthma
X101x,Allergic asthma
X101y,Extrinsic asthma with asthma attack
X101z,Allergic asthma NEC
X1021,Allergic non-atopic asthma
X1022,Intrinsic asthma with asthma attack
X1023,Drug-induced asthma
X1024,Aspirin-sensitive asthma with nasal polyps
X1025,Occupational asthma
X1026,Baker's asthma
X1027,Colophony asthma
X1028,Grain worker's asthma
X1029,Sulphite-induced asthma
X102C,Factitious asthma
X102D,Status asthmaticus
X102G,Asthmatic pulmonary eosinophilia
X1038,Lupus pneumonia
X104U,Tracheal sepsis
X104j,Tuberculous bronchopleural fistula
X104k,Bronchial sepsis
X70RK,Acute pulmonary histoplasmosis capsulati
X70RL,Chronic pulmonary histoplasmosis capsulati
X70RZ,Acute pulmonary African histoplasmosis
X70Ra,Chronic pulmonary African histoplasmosis
X70Rg,Chronic pulmonary blastomycosis
X70Ua,Capillaria aerophila chest infection
X76Gz,Dyspnoea on exertion
X77Qu,Forced expired volume in 1 second
X77Qv,Forced expired volume in 0.75 seconds
X77Qy,Inspiratory vital capacity
X77Qz,Expiratory vital capacity
X77R4,Expiratory reserve volume
X77RA,Functional residual capacity
X77RO,Forced expiratory flow rate between 25+75% of vital capacity
X77RZ,Forced expired volume in one second/vital capacity ratio
X77Ra,Forced expired volume in one sec/forced vital capacity ratio
X77Rb,Empey index
X77d7,Vital capacity test
X7A0Z,Open spirometry
XE0Qw,Whooping cough
XE0Xr,Acute bronchitis
XE0Xs,Chest infection NOS
XE0Xt,Acute lower respiratory tract infection
XE0YG,Viral pneumonia
XE0YH,Pneumococcal lobar pneumonia
XE0YI,Pneumonia with infectious diseases EC
XE0YJ,Bronchopneumonia due to unspecified organism
XE0YL,Bronchitis unspecified
XE0YM,Purulent chronic bronchitis
XE0YN,Bullous emphysema with collapse
XE0YO,Atrophic (senile) emphysema
XE0YP,Other emphysema NOS
XE0YQ,Allergic atopic asthma
XE0YR,Extrinsic asthma without status asthmaticus
XE0YS,Extrinsic asthma with status asthmaticus
XE0YT,Non-allergic asthma
XE0YU,Intrinsic asthma with status asthmaticus
XE0YV,Status asthmaticus NOS
XE0YW,Asthma attack
XE0YX,Asthma NOS
XE0Yt,Acute: [bronchitis]/[chest infections]/[tracheobronchitis]
XE0ZF,Pneumonia and influenza &/or pneumonia
XE0ZH,Pneumonia: [lobar] or [pneumococcal]
XE0ZN,Chronic: [bronchitis NOS] or [tracheobronchitis]
XE0ZP,Extrinsic asthma - atopy (& pollen)
XE0ZR,Asthma: [intrinsic] or [late onset]
XE0ZT,Asthma: [NOS] or [attack]
XE0qq,Dyspnoea
XE0qr,Orthopnoea
XE1P0,Vital capacity
XE1P1,Residual respiratory volume
XE2Nb,Asthma monitoring check done
XE2b5,Psittacosis
XM0rv,Pneumonia NOS
XM0s2,Asthma attack NOS
XM1Bs,Vital capacity reduced
XM1QV,Infection of lower respiratory tract and mediastinum
XM1QX,Acute wheezy bronchitis
XSCET,Bacterial infection due to Klebsiella pneumoniae
Xa0Y7,Non-tuberculous mycobacterial pneumonia
Xa0lY,Lobar pneumonia
Xa0lZ,Asthmatic bronchitis
Xa1hD,Exacerbation of asthma
Xa35l,Acute infective exacerbation chronic obstruct airway disease
Xa7nL,Basal pneumonia
Xa7nM,Left lower zone pneumonia
Xa7nN,Right lower zone pneumonia
Xa7nP,Left upper zone pneumonia
Xa7nT,Right middle zone pneumonia
Xa7nU,Right upper zone pneumonia
Xa8Hn,Asthma control steps
Xa97Z,Pulmonary mycobacterium avium-intracellulare infection
Xa9zf,Acute asthma
XaBE9,Basal pneumonia due to unspecified organism
XaBM8,Recurrent chest infection
XaBfJ,Secondary bacterial pneumonia
XaDcD,Bacterial lower respiratory infection
XaDcV,Viral lower respiratory infection
XaDsa,Infective pneumonia
XaDtB,Acute infective bronchitis
XaDtP,Bronchitis
XaDth,Acute infective tracheobronchitis
XaDtl,Legionnaire's disease
XaDvK,Asthma - currently active
XaDvL,Asthma - currently dormant
XaEFy,FEV1/FVC percent
XaEFz,Percent predicted FEV1
XaEIV,Mild chronic obstructive pulmonary disease
XaEIW,Moderate chronic obstructive pulmonary disease
XaEIY,Severe chronic obstructive pulmonary disease
XaF6d,FEV1/FVC < 70% of predicted
XaF6e,FEV1/FVC > 70% of predicted
XaFrU,Postoperative pneumonia
XaFrV,Spirometry reversibility
XaFrW,Spirometry reversibility negative
XaFrX,Spirometry reversibility positive
XaIIW,Asthma accident and emergency attendance since last visit
XaIIX,Asthma treatment compliance satisfactory
XaIIY,Asthma treatment compliance unsatisfactory
XaIIZ,Asthma daytime symptoms
XaIND,End stage chronic obstructive airways disease
XaINZ,Asthma causes night symptoms 1 to 2 times per month
XaINa,Asthma never causes daytime symptoms
XaINb,Asthma causes daytime symptoms 1 to 2 times per month
XaINc,Asthma causes daytime symptoms 1 to 2 times per week
XaINd,Asthma causes daytime symptoms most days
XaINf,Asthma limits walking up hills or stairs
XaINg,Asthma limits walking on the flat
XaINh,Number of asthma exacerbations in past year
XaIQ2,Short of breath dressing/undressing
XaIQ3,Breathless - strenuous exertion
XaIQ4,Change in asthma management plan
XaIQD,Step up change in asthma management plan
XaIQE,Step down change in asthma management plan
XaIQg,Interstitial pulmonary emphysema
XaIR3,Absent from work or school due to asthma
XaIUi,MRC Breathlessness Scale: grade 1
XaIUl,MRC Breathlessness Scale: grade 2
XaIUm,MRC Breathlessness Scale: grade 3
XaIUn,MRC Breathlessness Scale: grade 4
XaIUo,MRC Breathlessness Scale: grade 5
XaIeq,Asthma annual review
XaIer,Asthma follow-up
XaIet,Chronic obstructive pulmonary disease annual review
XaIfK,Asthma medication review
XaIoE,Asthma night-time symptoms
XaIu5,Asthma monitoring by nurse
XaIu6,Asthma monitoring by doctor
XaIuG,Asthma confirmed
XaIww,Asthma trigger
XaIxQ,FEV1 before bronchodilation
XaIxR,FEV1 after bronchodilation
XaIxU,FEV1 pre steroids
XaIxV,FEV1 post steroids
XaJ3K,FVC after bronchodilation
XaJ9B,FEV1/FVC ratio pre steroids
XaJ9C,FEV1/FVC ratio post steroids
XaJ9D,FEV1/FVC ratio before bronchodilator
XaJ9E,FEV1/FVC ratio after bronchodilator
XaJEl,Bilateral pneumonia
XaJFG,Aspirin-induced asthma
XaKdk,Work aggravated asthma
XaLIm,Asthma trigger - respiratory infection
XaLIn,Asthma trigger - seasonal
XaLIr,Asthma trigger - animals
XaLJO,Residual volume/total lung capacity
XaLJS,Asthma trigger - cold air
XaLJT,Asthma trigger - damp
XaLJU,Asthma trigger - emotion
XaLPE,Nocturnal asthma
XaMeu,Forced expiratory vol in one second/vital capacity percent
XaN4a,Very severe chronic obstructive pulmonary disease
XaNKw,Royal College of Physicians asthma assessment
XaObi,Asthma trigger - airborne dust
XaObj,Asthma trigger - exercise
XaObk,Asthma trigger - pollen
XaObl,Asthma trigger - tobacco smoke
XaObm,Asthma trigger - warm air
XaPpI,Forced vital capacity before bronchodilation
XaQHq,Asthma control test
XaQig,Asthma control questionnaire
XaQih,Mini asthma quality of life questionnaire
XaQmR,Forced expired volume in 1 second percentage change
XaQmS,Forced expired volume in 1 second reversibility
XaQmT,Percentage of predicted forced vital capacity
XaQmU,Percentage of predicted vital capacity
XaREU,Aspergillus bronchitis
XaRFi,Patient has a written asthma personal action plan
XaRFj,Health education - asthma self management
XaRFk,Health education - structured asthma discussion
XaRFl,Health education - structured patient focused asthma discuss
XaVx3,Percentage predicted FEV1 after bronchodilation
XaX3n,Asthma review using Roy Colleg of Physicians three questions
XaXCa,Chronic obstructive pulmonary disease 3 monthly review
XaXCb,Chronic obstructive pulmonary disease 6 monthly review
XaXZm,Asthma causes night time symptoms 1 to 2 times per week
XaXZp,Asthma causes symptoms most nights
XaXZs,Asthma limits activities 1 to 2 times per month
XaXZu,Asthma limits activities 1 to 2 times per week
XaXZx,Asthma limits activities most days
XaXa0,Royal College Physician asthma assessment 3 question score
XaXeg,Post bronchodilator spirometry
XaY2V,Asthma never causes night symptoms
XaYYt,Acute bronchiolitis due to human metapneumovirus
XaYYu,Pneumonia due to human metapneumovirus
XaYZB,Asthma self-management plan review
XaYZh,Number days absent from school due to asthma in past 6 month
XaYb8,Asthma self-management plan agreed
XaYby,Hantavirus pulmonary syndrome
XaYja,Asthma trigger - wind
XaYmL,Vital capacity after bronchodilation
XaYpC,Percentage of predicted vital capacity after bronchodilation
XaYpF,Asthma trigger - perfume
XaZ1k,Community acquired pneumonia
XaZ1l,Hospital acquired pneumonia
XaZd1,Acute non-infective exacerbation of COPD
XaZyl,FEV1/VC ratio after bronchodilator
XaZyt,FVC (forced vital capacity) after change of bronchodilator
XaZyu,FVC post bronchodilator percentage change
XaZz1,FEV1 after change of bronchodilator
Xaa7B,Chronic asthma with fixed airflow obstruction
Xaa7C,Eosinophilic bronchitis
Xaa7Q,No asthma trigger identified by subject
Xaafd,Forced expiratory vol 1 sec/forced expirator vol 6 sec ratio
XaahD,Borderline respiratory obstruction on spirometry
Xab2f,Percentage of predicted FVC after bronchodilation
Xab4X,Childhood Asthma Control Test
ZV19L,[V]Family history of hay fever
ZV725,[V]Radiological examination NEC
ZV74B,[V]Screening for whooping cough
ZV7B3,[V]Screening for chronic bronchitis or emphysema
c74..,NEDOCROMIL SODIUM [ASTHMA]
