medcode,readcode,readterm,cat,score
31016,Eu01300,[X]Mixed cortical and subcortical vascular dementia,Dementia,1
61528,Eu00013,[X]Alzheimer's disease type 2,Dementia,1
30706,Eu00200,"[X]Dementia in Alzheimer's dis, atypical or mixed type",Dementia,1
25704,Eu00011,"[X]Presenile dementia,Alzheimer's type",Dementia,1
47658,F11x500,Cerebral degeneration due to myxoedema,Dementia,1
42279,E004z00,Arteriosclerotic dementia NOS,Dementia,1
55467,E004200,Arteriosclerotic dementia with paranoia,Dementia,1
55313,Eu01y00,[X]Other vascular dementia,Dementia,1
9509,Eu02300,[X]Dementia in Parkinson's disease,Dementia,1
72333,8HME.00,Listed for Diabetology admissn,Diabetes (uncomplicated),1
66475,66Ak.00,Diabetic monitoring - lower risk albumin excretion,Diabetes (uncomplicated),1
106350,9m05.00,Excluded from diabetic retinopathy screening as moved away,Diabetes (uncomplicated),1
51756,C10FP00,Type 2 diabetes mellitus with ketoacidotic coma,Diabetes (uncomplicated),1
13104,2BBK.00,O/E - no left diabetic retinopathy,Diabetes (uncomplicated),1
13100,2BBJ.00,O/E - no right diabetic retinopathy,Diabetes (uncomplicated),1
2478,66AJ100,Brittle diabetes,Diabetes (uncomplicated),1
21482,C102.00,Diabetes mellitus with hyperosmolar coma,Diabetes (uncomplicated),1
105741,2G5e.00,O/E - Right diabetic foot at increased risk,Diabetes (uncomplicated),1
13192,9OLA.00,Diabetes monitor. check done,Diabetes (uncomplicated),1
95539,C10FS00,Maternally inherited diabetes mellitus,Diabetes (uncomplicated),1
105937,8IEQ.00,Referral to community diabetes specialist nurse declined,Diabetes (uncomplicated),1
283819,250 H,COMA DIABETIC,Diabetes (uncomplicated),1
758,C10F.00,Type 2 diabetes mellitus,Diabetes (uncomplicated),1
18311,68A7.00,Diabetic retinopathy screening,Diabetes (uncomplicated),1
107361,679L200,Education about diabetes and driving,Diabetes (uncomplicated),1
7563,66A3.00,Diabetic on diet only,Diabetes (uncomplicated),1
7328,M037200,Cellulitis in diabetic foot,Diabetes (uncomplicated),1
13195,9OL5.00,Diabetes monitoring 2nd letter,Diabetes (uncomplicated),1
106445,9m0E.00,Excluded from diabetic retinopathy screen physical disorder,Diabetes (uncomplicated),1
1682,C101.00,Diabetes mellitus with ketoacidosis,Diabetes (uncomplicated),1
13071,66AI.00,Diabetic - good control,Diabetes (uncomplicated),1
13197,9OL1.00,Attends diabetes monitoring,Diabetes (uncomplicated),1
31172,2G5K.00,O/E - Left diabetic foot at high risk,Diabetes (uncomplicated),1
94011,9OLG.00,Attended XPERT diabetes structured education programme,Diabetes (uncomplicated),1
31157,2G5F.00,O/E - Right diabetic foot at moderate risk,Diabetes (uncomplicated),1
283820,250 HC,HYPOGLYCAEMIC COMA DIABETIC,Diabetes (uncomplicated),1
31156,2G5J.00,O/E - Left diabetic foot at moderate risk,Diabetes (uncomplicated),1
106679,8OA3.00,Provision of written information about diabetes and driving,Diabetes (uncomplicated),1
9974,9N1v.00,Seen in diabetic eye clinic,Diabetes (uncomplicated),1
94383,C10N000,Secondary diabetes mellitus without complication,Diabetes (uncomplicated),1
104287,8Hlc.00,Referral to community diabetes service,Diabetes (uncomplicated),1
32359,ZRbH.00,Perceived control of insulin-dependent diabetes,Diabetes (uncomplicated),1
97849,C10E912,Insulin dependent diabetes maturity onset,Diabetes (uncomplicated),1
506,C100112,Non-insulin dependent diabetes mellitus,Diabetes (uncomplicated),1
12506,66AP.00,Diabetes: practice programme,Diabetes (uncomplicated),1
28873,66Ai.00,Diabetic 6 month review,Diabetes (uncomplicated),1
36695,C10D.00,Diabetes mellitus autosomal dominant type 2,Diabetes (uncomplicated),1
34450,C10FK00,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,Diabetes (uncomplicated),1
26604,66AY.00,Diabetic diet - good compliance,Diabetes (uncomplicated),1
61461,9M00.00,Informed consent for diabetes national audit,Diabetes (uncomplicated),1
62613,C10EA11,Type I diabetes mellitus without complication,Diabetes (uncomplicated),1
99719,C10EA12,Insulin-dependent diabetes without complication,Diabetes (uncomplicated),1
70766,C108E12,Type 1 diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated),1
34528,3882.00,Diabetes well being questionnaire,Diabetes (uncomplicated),1
40023,C102000,"Diabetes mellitus, juvenile type, with hyperosmolar coma",Diabetes (uncomplicated),1
292948,250 AB,ABSCESS DIABETIC,Diabetes (uncomplicated),1
18066,8CE0.00,Diabetic leaflet given,Diabetes (uncomplicated),1
285267,1434,H/O: diabetes mellitus,Diabetes (uncomplicated),1
303262,250 JK,KETOACIDOSIS DIABETIC,Diabetes (uncomplicated),1
95159,9NiD.00,Did not attend DESMOND diabetes structured education program,Diabetes (uncomplicated),1
106722,9Oy0300,Diabetic foot screening invitation second letter,Diabetes (uncomplicated),1
45913,C109712,Type 2 diabetes mellitus - poor control,Diabetes (uncomplicated),1
102704,66At000,Type I diabetic dietary review,Diabetes (uncomplicated),1
25636,66Aa.00,Diabetic diet - poor compliance,Diabetes (uncomplicated),1
32193,C11y000,Steroid induced diabetes,Diabetes (uncomplicated),1
85660,66An.00,Diabetes type 1 review,Diabetes (uncomplicated),1
109133,L180700,Pre-existing malnutrition-related diabetes mellitus,Diabetes (uncomplicated),1
43453,C10C.00,Diabetes mellitus autosomal dominant,Diabetes (uncomplicated),1
12247,8I6G.00,Diabetic foot examination not indicated,Diabetes (uncomplicated),1
3550,66A..00,Diabetic monitoring,Diabetes (uncomplicated),1
109103,C109911,Type II diabetes mellitus without complication,Diabetes (uncomplicated),1
65684,U602311,[X] Adverse reaction to insulins and antidiabetic agents,Diabetes (uncomplicated),1
68928,TJ23.00,Adverse reaction to insulins and antidiabetic agents,Diabetes (uncomplicated),1
83532,66Ao.00,Diabetes type 2 review,Diabetes (uncomplicated),1
105784,C109912,Type 2 diabetes mellitus without complication,Diabetes (uncomplicated),1
106738,9Oy0000,Diabetic foot screening invitation,Diabetes (uncomplicated),1
53238,66AG.00,Diabetic drug side effects,Diabetes (uncomplicated),1
63412,8CR2.00,Diabetes clinical management plan,Diabetes (uncomplicated),1
93390,9OLH.00,Attended DAFNE diabetes structured education programme,Diabetes (uncomplicated),1
38129,9N0o.00,Seen in community diabetic specialist nurse clinic,Diabetes (uncomplicated),1
38130,ZRB6.00,Diabetes wellbeing questionnaire,Diabetes (uncomplicated),1
107508,66AH200,Conversion to insulin by diabetes specialist nurse,Diabetes (uncomplicated),1
67635,L180000,Diabetes mellitus - unspec whether in pregnancy/puerperium,Diabetes (uncomplicated),1
100436,679L000,Education in self management of diabetes,Diabetes (uncomplicated),1
105207,8HTE100,Referral to community diabetes clinic,Diabetes (uncomplicated),1
14803,C100100,"Diabetes mellitus, adult onset, no mention of complication",Diabetes (uncomplicated),1
38103,9N0m.00,Seen in diabetic nurse consultant clinic,Diabetes (uncomplicated),1
46624,C10C.11,Maturity onset diabetes in youth,Diabetes (uncomplicated),1
13191,9OL..11,Diabetes clinic administration,Diabetes (uncomplicated),1
100422,8HgC.00,Discharged from diabetes shared care programme,Diabetes (uncomplicated),1
256384,250 PR,PRURITUS DIABETIC,Diabetes (uncomplicated),1
66675,C10A000,Malnutrition-related diabetes mellitus with coma,Diabetes (uncomplicated),1
95636,C10ER00,Latent autoimmune diabetes mellitus in adult,Diabetes (uncomplicated),1
29979,C109900,Non-insulin-dependent diabetes mellitus without complication,Diabetes (uncomplicated),1
34541,8HVU.00,Private referral to diabetologist,Diabetes (uncomplicated),1
54856,C101100,"Diabetes mellitus, adult onset, with ketoacidosis",Diabetes (uncomplicated),1
101190,66AQ100,Declined consent for diabetes year of care programme,Diabetes (uncomplicated),1
95093,8I83.00,Did not complete DESMOND diabetes structured educat program,Diabetes (uncomplicated),1
42729,C108E11,Type I diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated),1
49884,6761.00,Diabetic pre-pregnancy counselling,Diabetes (uncomplicated),1
23479,C350011,Bronzed diabetes,Diabetes (uncomplicated),1
45250,ZL22500,Under care of diabetic liaison nurse,Diabetes (uncomplicated),1
13196,66AD.00,Fundoscopy - diabetic check,Diabetes (uncomplicated),1
38986,C100.00,Diabetes mellitus with no mention of complication,Diabetes (uncomplicated),1
210870,250 GA,GANGRENE DIABETIC,Diabetes (uncomplicated),1
41686,Cyu2000,[X]Other specified diabetes mellitus,Diabetes (uncomplicated),1
14889,C100111,Maturity onset diabetes,Diabetes (uncomplicated),1
68843,C103100,"Diabetes mellitus, adult onset, with ketoacidotic coma",Diabetes (uncomplicated),1
11930,9NN9.00,Under care of diabetes specialist nurse,Diabetes (uncomplicated),1
47315,C10F711,Type II diabetes mellitus - poor control,Diabetes (uncomplicated),1
18167,66AT.00,Annual diabetic blood test,Diabetes (uncomplicated),1
68818,ZRB5.11,DTSQ - Diabetes treatment satisfaction questionnaire,Diabetes (uncomplicated),1
52236,C10A.00,Malnutrition-related diabetes mellitus,Diabetes (uncomplicated),1
102434,66Au.00,Diabetic erectile dysfunction review,Diabetes (uncomplicated),1
106778,9m0C.00,Excluded frm diabetic retinopathy screen as terminal illness,Diabetes (uncomplicated),1
91164,ZRB4.11,CSQ - Diabetes clinic satisfaction questionnaire,Diabetes (uncomplicated),1
26666,2G5E.00,O/E - Right diabetic foot at low risk,Diabetes (uncomplicated),1
58639,8I57.00,Patient held diabetic record declined,Diabetes (uncomplicated),1
11348,9h42.00,Excepted from diabetes quality indicators: Informed dissent,Diabetes (uncomplicated),1
46917,C10FD00,Type 2 diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated),1
247152,250 DR,DIABETIC DIARRHOEA,Diabetes (uncomplicated),1
32627,C10FN00,Type 2 diabetes mellitus with ketoacidosis,Diabetes (uncomplicated),1
13078,13AC.00,Diabetic weight reducing diet,Diabetes (uncomplicated),1
22023,66AJz00,Diabetic - poor control NOS,Diabetes (uncomplicated),1
1407,C10FJ00,Insulin treated Type 2 diabetes mellitus,Diabetes (uncomplicated),1
12262,8I3X.00,Diabetic retinopathy screening refused,Diabetes (uncomplicated),1
107464,66AS000,Diabetes Year of Care annual review,Diabetes (uncomplicated),1
12225,8H7C.00,"Refer, diabetic liaison nurse",Diabetes (uncomplicated),1
109520,9m03.00,Eligibility permanently inactive for diabetic retinop screen,Diabetes (uncomplicated),1
64142,8Hl1.00,Referral for diabetic retinopathy screening,Diabetes (uncomplicated),1
33969,C10A100,Malnutrition-related diabetes mellitus with ketoacidosis,Diabetes (uncomplicated),1
12213,8BL2.00,Patient on maximal tolerated therapy for diabetes,Diabetes (uncomplicated),1
11471,8B3l.00,Diabetes medication review,Diabetes (uncomplicated),1
13678,ZL62600,Referral to diabetic liaison nurse,Diabetes (uncomplicated),1
82474,8Hl4.00,Referral to community diabetes specialist nurse,Diabetes (uncomplicated),1
103798,9b92000,Diabetic medicine,Diabetes (uncomplicated),1
93704,8Hj3.00,Referral to DAFNE diabetes structured education programme,Diabetes (uncomplicated),1
13067,66AZ.00,Diabetic monitoring NOS,Diabetes (uncomplicated),1
11551,C10B.00,Diabetes mellitus induced by steroids,Diabetes (uncomplicated),1
63017,C108911,Type I diabetes mellitus maturity onset,Diabetes (uncomplicated),1
22130,9OL3.00,Diabetes monitoring default,Diabetes (uncomplicated),1
72702,C10E812,Insulin dependent diabetes mellitus - poor control,Diabetes (uncomplicated),1
16946,13L4.11,Diabetic child,Diabetes (uncomplicated),1
66145,C10EN11,Type I diabetes mellitus with ketoacidotic coma,Diabetes (uncomplicated),1
8414,8CA4100,Pt advised re diabetic diet,Diabetes (uncomplicated),1
54600,C10E412,Unstable insulin dependent diabetes mellitus,Diabetes (uncomplicated),1
12307,66AU.00,Diabetes care by hospital only,Diabetes (uncomplicated),1
13194,9OL4.00,Diabetes monitoring 1st letter,Diabetes (uncomplicated),1
61210,TJ23z00,Adverse reaction to insulins and antidiabetic agents NOS,Diabetes (uncomplicated),1
20900,9OLA.11,Diabetes monitored,Diabetes (uncomplicated),1
38078,66A9.00,Understands diet - diabetes,Diabetes (uncomplicated),1
8403,C109700,Non-insulin dependent diabetes mellitus - poor control,Diabetes (uncomplicated),1
10824,9N1i.00,Seen in diabetic foot clinic,Diabetes (uncomplicated),1
303261,250 HP,PRECOMA DIABETIC,Diabetes (uncomplicated),1
107414,8I94.00,Diabetes structured education programme not available,Diabetes (uncomplicated),1
94956,8I84.00,Did not complete XPERT diabetes structured education program,Diabetes (uncomplicated),1
103935,1IA..00,No evidence of diabetic nephropathy,Diabetes (uncomplicated),1
1038,C100011,Insulin dependent diabetes mellitus,Diabetes (uncomplicated),1
43139,C102100,"Diabetes mellitus, adult onset, with hyperosmolar coma",Diabetes (uncomplicated),1
53200,C101000,"Diabetes mellitus, juvenile type, with ketoacidosis",Diabetes (uncomplicated),1
107423,661N400,Diabetes self-management plan review,Diabetes (uncomplicated),1
47011,8Hj0.00,Referral to diabetes structured education programme,Diabetes (uncomplicated),1
69043,ZC2C900,Dietary advice for type I diabetes,Diabetes (uncomplicated),1
47032,8CS0.00,Diabetes care plan agreed,Diabetes (uncomplicated),1
103743,8IE2.00,Diabetes care plan declined,Diabetes (uncomplicated),1
303258,250 CT,DIABETIC CATARACT,Diabetes (uncomplicated),1
8618,ZLA2500,Seen by diabetic liaison nurse,Diabetes (uncomplicated),1
17095,2G5A.00,O/E - Right diabetic foot at risk,Diabetes (uncomplicated),1
26108,C10B000,Steroid induced diabetes mellitus without complication,Diabetes (uncomplicated),1
21472,Q441.00,Neonatal diabetes mellitus,Diabetes (uncomplicated),1
69676,C10EA00,Type 1 diabetes mellitus without complication,Diabetes (uncomplicated),1
54601,9NN8.00,Under care of diabetologist,Diabetes (uncomplicated),1
26667,2G5I.00,O/E - Left diabetic foot at low risk,Diabetes (uncomplicated),1
96235,C10E911,Type I diabetes mellitus maturity onset,Diabetes (uncomplicated),1
61470,66Al.00,Diabetic monitoring - higher risk albumin excretion,Diabetes (uncomplicated),1
97474,C108412,Unstable type 1 diabetes mellitus,Diabetes (uncomplicated),1
9013,66AJ.11,Unstable diabetes,Diabetes (uncomplicated),1
47058,8Hg4.00,Discharged from care of diabetes specialist nurse,Diabetes (uncomplicated),1
50972,C100z00,Diabetes mellitus NOS with no mention of complication,Diabetes (uncomplicated),1
229069,250 JA,DIABETIC ACIDOSIS,Diabetes (uncomplicated),1
72345,C102z00,Diabetes mellitus NOS with hyperosmolar coma,Diabetes (uncomplicated),1
50960,L180500,"Pre-existing diabetes mellitus, insulin-dependent",Diabetes (uncomplicated),1
2379,9N1Q.00,Seen in diabetic clinic,Diabetes (uncomplicated),1
101801,66At100,Type II diabetic dietary review,Diabetes (uncomplicated),1
106332,9m00.00,Eligible for diabetic retinopathy screening,Diabetes (uncomplicated),1
10977,66Ac.00,Diabetic peripheral neuropathy screening,Diabetes (uncomplicated),1
283823,2500AH,LATENT DIABETES,Diabetes (uncomplicated),1
101177,66At.00,Diabetic dietary review,Diabetes (uncomplicated),1
12507,9N2i.00,Seen by diabetic liaison nurse,Diabetes (uncomplicated),1
5884,C109.11,NIDDM - Non-insulin dependent diabetes mellitus,Diabetes (uncomplicated),1
35288,C10E800,Type 1 diabetes mellitus - poor control,Diabetes (uncomplicated),1
25627,C10F700,Type 2 diabetes mellitus - poor control,Diabetes (uncomplicated),1
99277,9NiC.00,Did not attend DAFNE diabetes structured education programme,Diabetes (uncomplicated),1
106329,9m08.00,Excluded from diabetic retinopathy screening as blind,Diabetes (uncomplicated),1
44440,C108E00,Insulin dependent diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated),1
43921,C10E400,Unstable type 1 diabetes mellitus,Diabetes (uncomplicated),1
26605,9OLB.00,Attended diabetes structured education programme,Diabetes (uncomplicated),1
12682,679R.00,Patient offered diabetes structured education programme,Diabetes (uncomplicated),1
47144,2BBM.00,O/E - diabetic maculopathy absent both eyes,Diabetes (uncomplicated),1
1684,66A4.00,Diabetic on oral treatment,Diabetes (uncomplicated),1
107701,C10FK11,Hyperosmolar non-ketotic state in type II diabetes mellitus,Diabetes (uncomplicated),1
32770,44V3.00,Glucose tol. test diabetic,Diabetes (uncomplicated),1
109628,C10P011,Type 1 diabetes mellitus in remission,Diabetes (uncomplicated),1
18219,C109.13,Type II diabetes mellitus,Diabetes (uncomplicated),1
12703,3881.00,Education score - diabetes,Diabetes (uncomplicated),1
43785,C109D00,Non-insulin dependent diabetes mellitus with hypoglyca coma,Diabetes (uncomplicated),1
57723,8HHy.00,Referral to diabetic register,Diabetes (uncomplicated),1
94186,9OLF.00,Diabetes structured education programme completed,Diabetes (uncomplicated),1
102611,66At111,Type 2 diabetic dietary review,Diabetes (uncomplicated),1
93491,9OLJ.00,DAFNE diabetes structured education programme completed,Diabetes (uncomplicated),1
29041,66AN.00,Date diabetic treatment start,Diabetes (uncomplicated),1
106328,9m07.00,Excluded diabetc retinop screen as under care ophthalmolgist,Diabetes (uncomplicated),1
106061,C10FP11,Type II diabetes mellitus with ketoacidotic coma,Diabetes (uncomplicated),1
107603,C10P.00,Diabetes mellitus in remission,Diabetes (uncomplicated),1
1647,C108.00,Insulin dependent diabetes mellitus,Diabetes (uncomplicated),1
95094,8I81.00,Did not complete diabetes structured education programme,Diabetes (uncomplicated),1
32739,9N0n.00,Seen in community diabetes specialist clinic,Diabetes (uncomplicated),1
106953,8IEa.00,Referral to DAFNE diabetes structured educn prog declined,Diabetes (uncomplicated),1
42505,C101z00,Diabetes mellitus NOS with ketoacidosis,Diabetes (uncomplicated),1
24458,C109711,Type II diabetes mellitus - poor control,Diabetes (uncomplicated),1
4513,C109.00,Non-insulin dependent diabetes mellitus,Diabetes (uncomplicated),1
13069,66A8.00,Has seen dietician - diabetes,Diabetes (uncomplicated),1
31240,9OL7.00,Diabetes monitor.verbal invite,Diabetes (uncomplicated),1
12675,66AQ.00,Diabetes: shared care programme,Diabetes (uncomplicated),1
95992,C108A11,Type I diabetes mellitus without complication,Diabetes (uncomplicated),1
35383,9OLD.00,Diabetic patient unsuitable for digital retinal photography,Diabetes (uncomplicated),1
95553,9NiA.00,Did not attend diabetes structured education programme,Diabetes (uncomplicated),1
6430,9NM0.00,Attending diabetes clinic,Diabetes (uncomplicated),1
106723,9Oy0200,Diabetic foot screening invitation first letter,Diabetes (uncomplicated),1
40837,C10EN00,Type 1 diabetes mellitus with ketoacidotic coma,Diabetes (uncomplicated),1
96506,C10G000,Secondary pancreatic diabetes mellitus without complication,Diabetes (uncomplicated),1
35321,8H3O.00,Non-urgent diabetic admission,Diabetes (uncomplicated),1
97824,ZRB6.11,DWBQ - Diabetes wellbeing questionnaire,Diabetes (uncomplicated),1
106327,9m04.00,Excluded from diabetic retinopathy screening,Diabetes (uncomplicated),1
47370,8HLE.00,Diabetology D.V. done,Diabetes (uncomplicated),1
98392,C10C.12,Maturity onset diabetes in youth type 1,Diabetes (uncomplicated),1
46521,9N2d.00,Seen by diabetologist,Diabetes (uncomplicated),1
37648,C109J11,Insulin treated non-insulin dependent diabetes mellitus,Diabetes (uncomplicated),1
46533,13Y1.00,Diabetic association member,Diabetes (uncomplicated),1
94699,ZRB5.00,Diabetes treatment satisfaction questionnaire,Diabetes (uncomplicated),1
26855,C108400,Unstable insulin dependent diabetes mellitus,Diabetes (uncomplicated),1
306131,250 E,HYPOGLYCAEMIA IN DIABETES MELLITUS,Diabetes (uncomplicated),1
15690,C103.00,Diabetes mellitus with ketoacidotic coma,Diabetes (uncomplicated),1
107597,9m0D.00,Excluded from diabetic retinopthy screen as learn disability,Diabetes (uncomplicated),1
50937,8HTe.00,Referral to diabetes preconception counselling clinic,Diabetes (uncomplicated),1
61557,8HKE.00,Diabetology D.V. requested,Diabetes (uncomplicated),1
93854,9OLM.00,Diabetes structured education programme declined,Diabetes (uncomplicated),1
17869,66AL.00,Diabetic-uncooperative patient,Diabetes (uncomplicated),1
51261,C10E.12,Insulin dependent diabetes mellitus,Diabetes (uncomplicated),1
38617,C101y00,Other specified diabetes mellitus with ketoacidosis,Diabetes (uncomplicated),1
608,66A2.00,Follow-up diabetic assessment,Diabetes (uncomplicated),1
7059,8H2J.00,Admit diabetic emergency,Diabetes (uncomplicated),1
101455,9OLN.00,Diabetes monitor invitation by SMS (short message service),Diabetes (uncomplicated),1
14049,42WZ.00,Hb. A1C - diabetic control NOS,Diabetes (uncomplicated),1
95813,9N1o.00,Seen in multidisciplinary diabetic clinic,Diabetes (uncomplicated),1
65062,C103z00,Diabetes mellitus NOS with ketoacidotic coma,Diabetes (uncomplicated),1
104453,66At011,Type 1 diabetic dietary review,Diabetes (uncomplicated),1
62209,C10EM11,Type I diabetes mellitus with ketoacidosis,Diabetes (uncomplicated),1
303250,250 A,SUGAR DIABETES,Diabetes (uncomplicated),1
30648,9N4p.00,Did not attend diabetic retinopathy clinic,Diabetes (uncomplicated),1
102768,9NiZ.00,Did not attend diabetes foot screening,Diabetes (uncomplicated),1
6791,C108800,Insulin dependent diabetes mellitus - poor control,Diabetes (uncomplicated),1
24363,8A13.00,Diabetic stabilisation,Diabetes (uncomplicated),1
306134,250 NT,UNSTABLE DIABETIC,Diabetes (uncomplicated),1
2378,66AJ.00,Diabetic - poor control,Diabetes (uncomplicated),1
303263,250 JL,KETOSIS DIABETIC,Diabetes (uncomplicated),1
106352,9m06.00,Excluded from diabetic retinopathy screening as deceased,Diabetes (uncomplicated),1
95641,8Hj1.00,Family/carer referral to diabetes structured education prog,Diabetes (uncomplicated),1
51697,C10G.00,Secondary pancreatic diabetes mellitus,Diabetes (uncomplicated),1
46850,C108811,Type I diabetes mellitus - poor control,Diabetes (uncomplicated),1
99716,C10EE12,Insulin dependent diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated),1
24423,C108.13,Type I diabetes mellitus,Diabetes (uncomplicated),1
32619,66Af.00,Patient diabetes education review,Diabetes (uncomplicated),1
12030,9OL6.00,Diabetes monitoring 3rd letter,Diabetes (uncomplicated),1
18747,8I6F.00,Diabetic retinopathy screening not indicated,Diabetes (uncomplicated),1
20696,66AA.11,Injection sites - diabetic,Diabetes (uncomplicated),1
101834,9h43.00,Excepted from diabetes qual indicators: service unavailable,Diabetes (uncomplicated),1
22884,C10F.11,Type II diabetes mellitus,Diabetes (uncomplicated),1
49949,C10E411,Unstable type I diabetes mellitus,Diabetes (uncomplicated),1
50175,66AW.00,Diabetic foot risk assessment,Diabetes (uncomplicated),1
93529,9OLK.00,DESMOND diabetes structured education programme completed,Diabetes (uncomplicated),1
33343,C10y.00,Diabetes mellitus with other specified manifestation,Diabetes (uncomplicated),1
95994,66Aq.00,Diabetic foot screen,Diabetes (uncomplicated),1
11041,9h41.00,Excepted from diabetes qual indicators: Patient unsuitable,Diabetes (uncomplicated),1
108360,C10P000,Type I diabetes mellitus in remission,Diabetes (uncomplicated),1
237987,250 AT,DIABETIC AMYOTROPHY,Diabetes (uncomplicated),1
9897,9OL..00,Diabetes monitoring admin.,Diabetes (uncomplicated),1
39070,C10EE00,Type 1 diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated),1
43951,66AK.00,Diabetic - cooperative patient,Diabetes (uncomplicated),1
93657,8Hj4.00,Referral to DESMOND diabetes structured education programme,Diabetes (uncomplicated),1
31241,9OLZ.00,Diabetes monitoring admin.NOS,Diabetes (uncomplicated),1
11677,8H7r.00,Refer to diabetic foot screener,Diabetes (uncomplicated),1
19381,8HTk.00,Referral to diabetic eye clinic,Diabetes (uncomplicated),1
28574,9h4..00,Exception reporting: diabetes quality indicators,Diabetes (uncomplicated),1
94955,9NiE.00,Did not attend XPERT diabetes structured education programme,Diabetes (uncomplicated),1
47954,C10F900,Type 2 diabetes mellitus without complication,Diabetes (uncomplicated),1
303256,250 AN,DIABETES,Diabetes (uncomplicated),1
16881,ZV65312,[V]Dietary counselling in diabetes mellitus,Diabetes (uncomplicated),1
56268,C109D11,Type II diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated),1
102767,67IJ100,Pre-conception advice for diabetes mellitus,Diabetes (uncomplicated),1
93870,8Hj5.00,Referral to XPERT diabetes structured education programme,Diabetes (uncomplicated),1
10642,ZC2C800,Dietary advice for diabetes mellitus,Diabetes (uncomplicated),1
105585,8CMW700,Diabetes clinical pathway,Diabetes (uncomplicated),1
31310,C108900,Insulin dependent diabetes maturity onset,Diabetes (uncomplicated),1
52237,9360.00,Patient held diabetic record issued,Diabetes (uncomplicated),1
17886,66AM.00,Diabetic - follow-up default,Diabetes (uncomplicated),1
16490,66AH.00,Diabetic treatment changed,Diabetes (uncomplicated),1
22823,66Ab.00,Diabetic foot examination,Diabetes (uncomplicated),1
101456,8IAs.00,Diabetic dietary review declined,Diabetes (uncomplicated),1
8842,66A5.00,Diabetic on insulin,Diabetes (uncomplicated),1
53392,C10F911,Type II diabetes mellitus without complication,Diabetes (uncomplicated),1
303259,250 DC,DIETARY CONTROL DIABETES,Diabetes (uncomplicated),1
13070,66A1.00,Initial diabetic assessment,Diabetes (uncomplicated),1
22487,C10N.00,Secondary diabetes mellitus,Diabetes (uncomplicated),1
101728,66As.00,Diabetic on subcutaneous treatment,Diabetes (uncomplicated),1
109521,9m02.00,Eligibility temporarily inactive for diabetic retinop screen,Diabetes (uncomplicated),1
26603,9OL2.00,Refuses diabetes monitoring,Diabetes (uncomplicated),1
107824,C10P100,Type II diabetes mellitus in remission,Diabetes (uncomplicated),1
64668,C10FJ11,Insulin treated Type II diabetes mellitus,Diabetes (uncomplicated),1
711,C10..00,Diabetes mellitus,Diabetes (uncomplicated),1
26664,2G5B.00,O/E - Left diabetic foot at risk,Diabetes (uncomplicated),1
31141,9OL8.00,Diabetes monitor.phone invite,Diabetes (uncomplicated),1
44312,9M10.00,Informed dissent for diabetes national audit,Diabetes (uncomplicated),1
107739,679L211,Advice about diabetes and driving,Diabetes (uncomplicated),1
24490,C100000,"Diabetes mellitus, juvenile type, no mention of complication",Diabetes (uncomplicated),1
98723,C10FD11,Type II diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated),1
97809,8I82.00,Did not complete DAFNE diabetes structured education program,Diabetes (uncomplicated),1
303252,250 AD,DIABETES MELLITUS INSULIN DEPENDANT,Diabetes (uncomplicated),1
283822,250 NH,HYPEROSMOLAR DIABETIC STATE,Diabetes (uncomplicated),1
17859,C109.12,Type 2 diabetes mellitus,Diabetes (uncomplicated),1
107452,66o..00,Further diabetic monitoring,Diabetes (uncomplicated),1
18264,C109J12,Insulin treated Type II diabetes mellitus,Diabetes (uncomplicated),1
11977,ZL62500,Referral to diabetes nurse,Diabetes (uncomplicated),1
98954,3883.00,Diabetes treatment satisfaction questionnaire,Diabetes (uncomplicated),1
68546,ZRB4.00,Diabetes clinic satisfaction questionnaire,Diabetes (uncomplicated),1
56448,C108A00,Insulin-dependent diabetes without complication,Diabetes (uncomplicated),1
45914,C108812,Type 1 diabetes mellitus - poor control,Diabetes (uncomplicated),1
19739,68A9.00,Diabetic retinopathy screening offered,Diabetes (uncomplicated),1
46577,66AX.00,Diabetes: shared care in pregnancy - diabetol and obstet,Diabetes (uncomplicated),1
104374,67D8.00,Provision of diabetes clinical summary,Diabetes (uncomplicated),1
28856,8CP2.00,Transition of diabetes care options discussed,Diabetes (uncomplicated),1
2475,C104.11,Diabetic nephropathy,Diabetes (uncomplicated),1
21689,13AB.00,Diabetic lipid lowering diet,Diabetes (uncomplicated),1
57389,93C4.00,Patient consent given for addition to diabetic register,Diabetes (uncomplicated),1
18505,C108.11,IDDM-Insulin dependent diabetes mellitus,Diabetes (uncomplicated),1
100033,U60231E,[X] Adverse reaction to insulins and antidiabetic agents NOS,Diabetes (uncomplicated),1
105740,2G5d.00,O/E - Left diabetic foot at increased risk,Diabetes (uncomplicated),1
61122,C10H.00,Diabetes mellitus induced by non-steroid drugs,Diabetes (uncomplicated),1
