medcode,readcode,readterm,cat,score,CC,TERMID,TERM60
42729,C108E11,Type I diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated),1,XaFWG,YagvM,Type I diabetes mellitus with hypoglycaemic coma
49884,6761,Diabetic pre-pregnancy counselling,Diabetes (uncomplicated),1,XaIeU,Yal9S,Diabetic pre-pregnancy counselling
45250,ZL22500,Under care of diabetic liaison nurse,Diabetes (uncomplicated),1,XaAQZ,YaZJz,Under care of diabetic liaison nurse
13196,66AD.00,Fundoscopy - diabetic check,Diabetes (uncomplicated),1,66AD.,Y79Y7,Fundoscopy - diabetic check
38986,C100.00,Diabetes mellitus with no mention of complication,Diabetes (uncomplicated),1,C100.,Y41PQ,Diabetes mellitus with no mention of complication
41686,Cyu2000,[X]Other specified diabetes mellitus,Diabetes (uncomplicated),1,Cyu20,YMABQ,[X]Other specified diabetes mellitus
11930,9NN9.00,Under care of diabetes specialist nurse,Diabetes (uncomplicated),1,XaJO4,YamO3,Under care of diabetes specialist nurse
47315,C10F711,Type II diabetes mellitus - poor control,Diabetes (uncomplicated),1,C1097,Yagvu,Type II diabetes mellitus - poor control
18167,66AT.00,Annual diabetic blood test,Diabetes (uncomplicated),1,66AT.,YaXyl,Annual diabetic blood test
52236,C10A.00,Malnutrition-related diabetes mellitus,Diabetes (uncomplicated),1,X40J7,YMJzU,Malnutrition-related diabetes mellitus
102434,66Au.00,Diabetic erectile dysfunction review,Diabetes (uncomplicated),1,XaXgv,YauRE,Diabetic erectile dysfunction review
106778,9m0C.00,Excluded frm diabetic retinopathy screen as terminal illness,Diabetes (uncomplicated),1,XaPjO,YasL8,Excluded frm diabetic retinopathy screen as terminal illness
26666,2G5E.00,O/E - Right diabetic foot at low risk,Diabetes (uncomplicated),1,XaIeH,Yal94,O/E - Right diabetic foot at low risk
58639,8I57.00,Patient held diabetic record declined,Diabetes (uncomplicated),1,XaKOF,Yaned,Patient held diabetic record declined
11348,9h42.00,Excepted from diabetes quality indicators: Informed dissent,Diabetes (uncomplicated),1,XaJ4i,Yam0v,Excepted from diabetes quality indicators: Informed dissent
46917,C10FD00,Type 2 diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated),1,C10FD,00F1l,Type 2 diabetes mellitus with hypoglycaemic coma
32627,C10FN00,Type 2 diabetes mellitus with ketoacidosis,Diabetes (uncomplicated),1,C1011,YaluU,Type 2 diabetes mellitus with ketoacidosis
13078,13AC.00,Diabetic weight reducing diet,Diabetes (uncomplicated),1,XaFvk,Yah6p,Diabetic weight reducing diet
22023,66AJz00,Diabetic - poor control NOS,Diabetes (uncomplicated),1,66AJz,Y7A16,Diabetic - poor control NOS
1407,C10FJ00,Insulin treated Type 2 diabetes mellitus,Diabetes (uncomplicated),1,X40J6,Yakg3,Insulin treated Type 2 diabetes mellitus
12262,8I3X.00,Diabetic retinopathy screening refused,Diabetes (uncomplicated),1,XaJkQ,YampZ,Diabetic retinopathy screening refused
107464,66AS000,Diabetes Year of Care annual review,Diabetes (uncomplicated),1,Xaag1,YawVS,Diabetes Year of Care annual review
12225,8H7C.00,"Refer, diabetic liaison nurse",Diabetes (uncomplicated),1,8H7C.,Y79ip,"Refer, diabetic liaison nurse"
109520,9m03.00,Eligibility permanently inactive for diabetic retinop screen,Diabetes (uncomplicated),1,XaPad,YasHO,Eligibility permanently inactive for diabetic retinop screen
64142,8Hl1.00,Referral for diabetic retinopathy screening,Diabetes (uncomplicated),1,XaMFF,YapOd,Referral for diabetic retinopathy screening
33969,C10A100,Malnutrition-related diabetes mellitus with ketoacidosis,Diabetes (uncomplicated),1,C10A1,YMAoy,Malnutrition-related diabetes mellitus with ketoacidosis
12213,8BL2.00,Patient on maximal tolerated therapy for diabetes,Diabetes (uncomplicated),1,XaJ5j,Yam2B,Patient on maximal tolerated therapy for diabetes
11471,8B3l.00,Diabetes medication review,Diabetes (uncomplicated),1,XaIfM,YalAT,Diabetes medication review
13678,ZL62600,Referral to diabetic liaison nurse,Diabetes (uncomplicated),1,XaBTC,YaalQ,Referral to diabetic liaison nurse
82474,8Hl4.00,Referral to community diabetes specialist nurse,Diabetes (uncomplicated),1,XaMhQ,Yapj7,Referral to community diabetes specialist nurse
103798,9b92000,Diabetic medicine,Diabetes (uncomplicated),1,XaJK3,YamJ3,Diabetic medicine
93704,8Hj3.00,Referral to DAFNE diabetes structured education programme,Diabetes (uncomplicated),1,XaNTQ,YaqVF,Referral to DAFNE diabetes structured education programme
13067,66AZ.00,Diabetic monitoring NOS,Diabetes (uncomplicated),1,66AZ.,Y79YC,Diabetic monitoring NOS
11551,C10B.00,Diabetes mellitus induced by steroids,Diabetes (uncomplicated),1,C10B.,00Ezl,Diabetes mellitus induced by steroids
63017,C108911,Type I diabetes mellitus maturity onset,Diabetes (uncomplicated),1,C1089,YagvF,Type I diabetes mellitus maturity onset
22130,9OL3.00,Diabetes monitoring default,Diabetes (uncomplicated),1,9OL3.,Y7AQn,Diabetes monitoring default
16946,13L4.11,Diabetic child,Diabetes (uncomplicated),1,Xa1c6,Y7DiY,Diabetic child
54600,C10E412,Unstable insulin dependent diabetes mellitus,Diabetes (uncomplicated),1,C1084,00Exq,Unstable insulin dependent diabetes mellitus
12307,66AU.00,Diabetes care by hospital only,Diabetes (uncomplicated),1,XaIIe,Yakh4,Diabetes care by hospital only
61210,TJ23z00,Adverse reaction to insulins and antidiabetic agents NOS,Diabetes (uncomplicated),1,TJ23z,Y73Hb,Adverse reaction to insulins and antidiabetic agents NOS
38078,66A9.00,Understands diet - diabetes,Diabetes (uncomplicated),1,66A9.,Y7A0s,Understands diet - diabetes
10824,9N1i.00,Seen in diabetic foot clinic,Diabetes (uncomplicated),1,XaJEN,YamCi,Seen in diabetic foot clinic
107414,8I94.00,Diabetes structured education programme not available,Diabetes (uncomplicated),1,XaadP,YawTi,Diabetes structured education programme not available
94956,8I84.00,Did not complete XPERT diabetes structured education program,Diabetes (uncomplicated),1,8I84.,00BgD,Did not complete XPERT diabetes structured education program
103935,1IA..00,No evidence of diabetic nephropathy,Diabetes (uncomplicated),1,XaXoT,YauX0,No evidence of diabetic nephropathy
1038,C100011,Insulin dependent diabetes mellitus,Diabetes (uncomplicated),1,C108.,00Exa,Insulin dependent diabetes mellitus
43139,C102100,"Diabetes mellitus, adult onset, with hyperosmolar coma",Diabetes (uncomplicated),1,C1021,Y41Qt,"Diabetes mellitus, adult onset, with hyperosmolar coma"
107423,661N400,Diabetes self-management plan review,Diabetes (uncomplicated),1,XaYZP,Yauta,Diabetes self-management plan review
47011,8Hj0.00,Referral to diabetes structured education programme,Diabetes (uncomplicated),1,XaKGy,YanW9,Referral to diabetes structured education programme
69043,ZC2C900,Dietary advice for type I diabetes,Diabetes (uncomplicated),1,Xa2h9,Ya4hC,Dietary advice for type I diabetes
47032,8CS0.00,Diabetes care plan agreed,Diabetes (uncomplicated),1,XaKSn,Yanjo,Diabetes care plan agreed
103743,8IE2.00,Diabetes care plan declined,Diabetes (uncomplicated),1,XaXv9,YaubV,Diabetes care plan declined
8618,ZLA2500,Seen by diabetic liaison nurse,Diabetes (uncomplicated),1,XaATw,YaZO1,Seen by diabetic liaison nurse
17095,2G5A.00,O/E - Right diabetic foot at risk,Diabetes (uncomplicated),1,XaBLf,YaafQ,O/E - Right diabetic foot at risk
21472,Q441.00,Neonatal diabetes mellitus,Diabetes (uncomplicated),1,Q441.,Y710F,Neonatal diabetes mellitus
69676,C10EA00,Type 1 diabetes mellitus without complication,Diabetes (uncomplicated),1,C10EA,00F0a,Type 1 diabetes mellitus without complication
54601,9NN8.00,Under care of diabetologist,Diabetes (uncomplicated),1,XaJO3,YamO2,Under care of diabetologist
26667,2G5I.00,O/E - Left diabetic foot at low risk,Diabetes (uncomplicated),1,XaIeL,Yal98,O/E - Left diabetic foot at low risk
61470,66Al.00,Diabetic monitoring - higher risk albumin excretion,Diabetes (uncomplicated),1,XaL2F,Yao83,Diabetic monitoring - higher risk albumin excretion
97474,C108412,Unstable type 1 diabetes mellitus,Diabetes (uncomplicated),1,C10E4,00F0G,Unstable type 1 diabetes mellitus
9013,66AJ.11,Unstable diabetes,Diabetes (uncomplicated),1,XM1Xk,Y7A11,Unstable diabetes
47058,8Hg4.00,Discharged from care of diabetes specialist nurse,Diabetes (uncomplicated),1,XaKbu,YanwB,Discharged from care of diabetes specialist nurse
50972,C100z00,Diabetes mellitus NOS with no mention of complication,Diabetes (uncomplicated),1,C100z,Y41PT,Diabetes mellitus NOS with no mention of complication
72345,C102z00,Diabetes mellitus NOS with hyperosmolar coma,Diabetes (uncomplicated),1,C102z,Y41Qu,Diabetes mellitus NOS with hyperosmolar coma
50960,L180500,"Pre-existing diabetes mellitus, insulin-dependent",Diabetes (uncomplicated),1,L1805,YMAos,"Pre-existing diabetes mellitus, insulin-dependent"
2379,9N1Q.00,Seen in diabetic clinic,Diabetes (uncomplicated),1,9N1Q.,YM9hj,Seen in diabetic clinic
101801,66At100,Type II diabetic dietary review,Diabetes (uncomplicated),1,XaX3q,Yatx6,Type II diabetic dietary review
106332,9m00.00,Eligible for diabetic retinopathy screening,Diabetes (uncomplicated),1,XaPaa,YasHL,Eligible for diabetic retinopathy screening
10977,66Ac.00,Diabetic peripheral neuropathy screening,Diabetes (uncomplicated),1,XaIyt,YaltV,Diabetic peripheral neuropathy screening
101177,66At.00,Diabetic dietary review,Diabetes (uncomplicated),1,XaX3o,YatwE,Diabetic dietary review
35288,C10E800,Type 1 diabetes mellitus - poor control,Diabetes (uncomplicated),1,C10E8,00F0S,Type 1 diabetes mellitus - poor control
99277,9NiC.00,Did not attend DAFNE diabetes structured education programme,Diabetes (uncomplicated),1,XaNU1,YaqW3,Did not attend DAFNE diabetes structured education programme
106329,9m08.00,Excluded from diabetic retinopathy screening as blind,Diabetes (uncomplicated),1,XaPjK,YasL0,Excluded from diabetic retinopathy screening as blind
26605,9OLB.00,Attended diabetes structured education programme,Diabetes (uncomplicated),1,XaKH0,YanWD,Attended diabetes structured education programme
12682,679R.00,Patient offered diabetes structured education programme,Diabetes (uncomplicated),1,XaKSp,Yanjq,Patient offered diabetes structured education programme
47144,2BBM.00,O/E - diabetic maculopathy absent both eyes,Diabetes (uncomplicated),1,XaIPl,Yakqd,O/E - diabetic maculopathy absent both eyes
1684,66A4.00,Diabetic on oral treatment,Diabetes (uncomplicated),1,66A4.,Y7A0n,Diabetic on oral treatment
107701,C10FK11,Hyperosmolar non-ketotic state in type II diabetes mellitus,Diabetes (uncomplicated),1,XaIrf,Yatwz,Hyperosmolar non-ketotic state in type II diabetes mellitus
32770,44V3.00,Glucose tol. test diabetic,Diabetes (uncomplicated),1,44V3.,YM0ce,Glucose tol. test diabetic
18219,C109.13,Type II diabetes mellitus,Diabetes (uncomplicated),1,X40J5,Yagv6,Type II diabetes mellitus
12703,3881,Education score - diabetes,Diabetes (uncomplicated),1,XaBuj,YabMl,Education score - diabetes
57723,8HHy.00,Referral to diabetic register,Diabetes (uncomplicated),1,XaLMa,YaoRh,Referral to diabetic register
94186,9OLF.00,Diabetes structured education programme completed,Diabetes (uncomplicated),1,XaX5D,YaqKL,Diabetes structured education programme completed
93491,9OLJ.00,DAFNE diabetes structured education programme completed,Diabetes (uncomplicated),1,XaNTB,YaqV4,DAFNE diabetes structured education programme completed
29041,66AN.00,Date diabetic treatment start,Diabetes (uncomplicated),1,66AN.,Y79YA,Date diabetic treatment start
106328,9m07.00,Excluded diabetc retinop screen as under care ophthalmolgist,Diabetes (uncomplicated),1,XaPjJ,YasKy,Excluded diabetc retinop screen as under care ophthalmolgist
106061,C10FP11,Type II diabetes mellitus with ketoacidotic coma,Diabetes (uncomplicated),1,C1031,YaluX,Type II diabetes mellitus with ketoacidotic coma
107603,C10P.00,Diabetes mellitus in remission,Diabetes (uncomplicated),1,Xaagd,YawW4,Diabetes mellitus in remission
95094,8I81.00,Did not complete diabetes structured education programme,Diabetes (uncomplicated),1,XaNTd,YaqVU,Did not complete diabetes structured education programme
32739,9N0n.00,Seen in community diabetes specialist clinic,Diabetes (uncomplicated),1,XaKaM,YantL,Seen in community diabetes specialist clinic
106953,8IEa.00,Referral to DAFNE diabetes structured educn prog declined,Diabetes (uncomplicated),1,XaZuQ,YavoI,Referral to DAFNE diabetes structured educn prog declined
42505,C101z00,Diabetes mellitus NOS with ketoacidosis,Diabetes (uncomplicated),1,C101z,Y41Qn,Diabetes mellitus NOS with ketoacidosis
12675,66AQ.00,Diabetes: shared care programme,Diabetes (uncomplicated),1,66AQ.,Y7A1B,Diabetes: shared care programme
35383,9OLD.00,Diabetic patient unsuitable for digital retinal photography,Diabetes (uncomplicated),1,XaKT5,Yank6,Diabetic patient unsuitable for digital retinal photography
95553,9NiA.00,Did not attend diabetes structured education programme,Diabetes (uncomplicated),1,XaNTa,YaqVO,Did not attend diabetes structured education programme
6430,9NM0.00,Attending diabetes clinic,Diabetes (uncomplicated),1,XaE4q,YaeKl,Attending diabetes clinic
106723,9Oy0200,Diabetic foot screening invitation first letter,Diabetes (uncomplicated),1,XaZw7,Yavq3,Diabetic foot screening invitation first letter
40837,C10EN00,Type 1 diabetes mellitus with ketoacidotic coma,Diabetes (uncomplicated),1,C1030,YaluO,Type 1 diabetes mellitus with ketoacidotic coma
96506,C10G000,Secondary pancreatic diabetes mellitus without complication,Diabetes (uncomplicated),1,XaJlL,YamqR,Secondary pancreatic diabetes mellitus without complication
35321,8H3O.00,Non-urgent diabetic admission,Diabetes (uncomplicated),1,8H3O.,Y79mX,Non-urgent diabetic admission
106327,9m04.00,Excluded from diabetic retinopathy screening,Diabetes (uncomplicated),1,XaPjR,YasLE,Excluded from diabetic retinopathy screening
47370,8HLE.00,Diabetology D.V. done,Diabetes (uncomplicated),1,8HLE.,Y79kr,Diabetology D.V. done
46521,9N2d.00,Seen by diabetologist,Diabetes (uncomplicated),1,XaIPX,YakqL,Seen by diabetologist
46533,13Y1.00,Diabetic association member,Diabetes (uncomplicated),1,13Y1.,Y7Dfq,Diabetic association member
94699,ZRB5.00,Diabetes treatment satisfaction questionnaire,Diabetes (uncomplicated),1,XM0cY,YM9UP,Diabetes treatment satisfaction questionnaire
15690,C103.00,Diabetes mellitus with ketoacidotic coma,Diabetes (uncomplicated),1,C103.,Y41Qh,Diabetes mellitus with ketoacidotic coma
107597,9m0D.00,Excluded from diabetic retinopthy screen as learn disability,Diabetes (uncomplicated),1,XaPjP,YasLA,Excluded from diabetic retinopthy screen as learn disability
50937,8HTe.00,Referral to diabetes preconception counselling clinic,Diabetes (uncomplicated),1,XaKGq,YanVv,Referral to diabetes preconception counselling clinic
93854,9OLM.00,Diabetes structured education programme declined,Diabetes (uncomplicated),1,XaNTH,YaqVD,Diabetes structured education programme declined
17869,66AL.00,Diabetic-uncooperative patient,Diabetes (uncomplicated),1,66AL.,Y7A18,Diabetic-uncooperative patient
38617,C101y00,Other specified diabetes mellitus with ketoacidosis,Diabetes (uncomplicated),1,C101y,YMApG,Other specified diabetes mellitus with ketoacidosis
608,66A2.00,Follow-up diabetic assessment,Diabetes (uncomplicated),1,66A2.,Y79Y6,Follow-up diabetic assessment
7059,8H2J.00,Admit diabetic emergency,Diabetes (uncomplicated),1,8H2J.,Y79hZ,Admit diabetic emergency
101455,9OLN.00,Diabetes monitor invitation by SMS (short message service),Diabetes (uncomplicated),1,XaX1n,Yatuz,Diabetes monitor invitation by SMS (short message service)
14049,42WZ.00,Hb. A1C - diabetic control NOS,Diabetes (uncomplicated),1,42WZ.,YM0cn,Hb. A1C - diabetic control NOS
95813,9N1o.00,Seen in multidisciplinary diabetic clinic,Diabetes (uncomplicated),1,XaKzP,Yao5B,Seen in multidisciplinary diabetic clinic
65062,C103z00,Diabetes mellitus NOS with ketoacidotic coma,Diabetes (uncomplicated),1,C103z,Y41Qk,Diabetes mellitus NOS with ketoacidotic coma
30648,9N4p.00,Did not attend diabetic retinopathy clinic,Diabetes (uncomplicated),1,XaL1S,Yao7Z,Did not attend diabetic retinopathy clinic
102768,9NiZ.00,Did not attend diabetes foot screening,Diabetes (uncomplicated),1,XaXHD,Yau70,Did not attend diabetes foot screening
24363,8A13.00,Diabetic stabilisation,Diabetes (uncomplicated),1,8A13.,Y79fB,Diabetic stabilisation
2378,66AJ.00,Diabetic - poor control,Diabetes (uncomplicated),1,XE1T3,Y7A10,Diabetic - poor control
106352,9m06.00,Excluded from diabetic retinopathy screening as deceased,Diabetes (uncomplicated),1,XaPjI,YasKw,Excluded from diabetic retinopathy screening as deceased
95641,8Hj1.00,Family/carer referral to diabetes structured education prog,Diabetes (uncomplicated),1,XaKGz,YanWB,Family/carer referral to diabetes structured education prog
51697,C10G.00,Secondary pancreatic diabetes mellitus,Diabetes (uncomplicated),1,X40JB,Y41Pj,Secondary pancreatic diabetes mellitus
46850,C108811,Type I diabetes mellitus - poor control,Diabetes (uncomplicated),1,C1088,YagvE,Type I diabetes mellitus - poor control
24423,C108.13,Type I diabetes mellitus,Diabetes (uncomplicated),1,X40J4,Yagv5,Type I diabetes mellitus
32619,66Af.00,Patient diabetes education review,Diabetes (uncomplicated),1,XaKGs,YanVy,Patient diabetes education review
18747,8I6F.00,Diabetic retinopathy screening not indicated,Diabetes (uncomplicated),1,XaJOD,YamOE,Diabetic retinopathy screening not indicated
101834,9h43.00,Excepted from diabetes qual indicators: service unavailable,Diabetes (uncomplicated),1,XaX0F,Yattp,Excepted from diabetes qual indicators: service unavailable
49949,C10E411,Unstable type I diabetes mellitus,Diabetes (uncomplicated),1,Xa4g7,Yagv7,Unstable type I diabetes mellitus
50175,66AW.00,Diabetic foot risk assessment,Diabetes (uncomplicated),1,XaIeT,Yal9Q,Diabetic foot risk assessment
93529,9OLK.00,DESMOND diabetes structured education programme completed,Diabetes (uncomplicated),1,9OLK.,00Cgh,DESMOND diabetes structured education programme completed
33343,C10y.00,Diabetes mellitus with other specified manifestation,Diabetes (uncomplicated),1,C10y.,Y41PM,Diabetes mellitus with other specified manifestation
95994,66Aq.00,Diabetic foot screen,Diabetes (uncomplicated),1,XaPQH,Yas7G,Diabetic foot screen
11041,9h41.00,Excepted from diabetes qual indicators: Patient unsuitable,Diabetes (uncomplicated),1,XaJ4h,Yam0t,Excepted from diabetes qual indicators: Patient unsuitable
108360,C10P000,Type I diabetes mellitus in remission,Diabetes (uncomplicated),1,Xaage,YawW5,Type I diabetes mellitus in remission
9897,9OL..00,Diabetes monitoring admin.,Diabetes (uncomplicated),1,XE2Nd,Y7AQj,Diabetes monitoring admin.
43951,66AK.00,Diabetic - cooperative patient,Diabetes (uncomplicated),1,66AK.,Y7A17,Diabetic - cooperative patient
93657,8Hj4.00,Referral to DESMOND diabetes structured education programme,Diabetes (uncomplicated),1,8Hj4.,00BYS,Referral to DESMOND diabetes structured education programme
31241,9OLZ.00,Diabetes monitoring admin.NOS,Diabetes (uncomplicated),1,9OLZ.,Y7AQw,Diabetes monitoring admin.NOS
11677,8H7r.00,Refer to diabetic foot screener,Diabetes (uncomplicated),1,XaIQS,YakrR,Refer to diabetic foot screener
19381,8HTk.00,Referral to diabetic eye clinic,Diabetes (uncomplicated),1,XaLP3,YaoUl,Referral to diabetic eye clinic
28574,9h4..00,Exception reporting: diabetes quality indicators,Diabetes (uncomplicated),1,XaJ4Q,Yam0L,Exception reporting: diabetes quality indicators
94955,9NiE.00,Did not attend XPERT diabetes structured education programme,Diabetes (uncomplicated),1,XaNU3,YaqW7,Did not attend XPERT diabetes structured education programme
56268,C109D11,Type II diabetes mellitus with hypoglycaemic coma,Diabetes (uncomplicated),1,XaFWI,Yagw0,Type II diabetes mellitus with hypoglycaemic coma
102767,67IJ100,Pre-conception advice for diabetes mellitus,Diabetes (uncomplicated),1,XaX9n,Yau1v,Pre-conception advice for diabetes mellitus
93870,8Hj5.00,Referral to XPERT diabetes structured education programme,Diabetes (uncomplicated),1,XaNTT,YaqVL,Referral to XPERT diabetes structured education programme
10642,ZC2C800,Dietary advice for diabetes mellitus,Diabetes (uncomplicated),1,Xa2h7,Ya4hA,Dietary advice for diabetes mellitus
105585,8CMW700,Diabetes clinical pathway,Diabetes (uncomplicated),1,XaZig,Yaviy,Diabetes clinical pathway
52237,9360,Patient held diabetic record issued,Diabetes (uncomplicated),1,XaJOO,YamOe,Patient held diabetic record issued
17886,66AM.00,Diabetic - follow-up default,Diabetes (uncomplicated),1,66AM.,Y7A19,Diabetic - follow-up default
16490,66AH.00,Diabetic treatment changed,Diabetes (uncomplicated),1,66AH.,Y79Y9,Diabetic treatment changed
22823,66Ab.00,Diabetic foot examination,Diabetes (uncomplicated),1,XaIuE,YaleY,Diabetic foot examination
101456,8IAs.00,Diabetic dietary review declined,Diabetes (uncomplicated),1,XaX3r,YatwH,Diabetic dietary review declined
8842,66A5.00,Diabetic on insulin,Diabetes (uncomplicated),1,66A5.,Y7A0o,Diabetic on insulin
13070,66A1.00,Initial diabetic assessment,Diabetes (uncomplicated),1,66A1.,Y79Y5,Initial diabetic assessment
22487,C10N.00,Secondary diabetes mellitus,Diabetes (uncomplicated),1,X40JA,Y41Ph,Secondary diabetes mellitus
101728,66As.00,Diabetic on subcutaneous treatment,Diabetes (uncomplicated),1,XaRGt,Yatkt,Diabetic on subcutaneous treatment
109521,9m02.00,Eligibility temporarily inactive for diabetic retinop screen,Diabetes (uncomplicated),1,XaPac,YasHQ,Eligibility temporarily inactive for diabetic retinop screen
26603,9OL2.00,Refuses diabetes monitoring,Diabetes (uncomplicated),1,9OL2.,Y7AQm,Refuses diabetes monitoring
107824,C10P100,Type II diabetes mellitus in remission,Diabetes (uncomplicated),1,Xaagf,YawW7,Type II diabetes mellitus in remission
711,C10..00,Diabetes mellitus,Diabetes (uncomplicated),1,C10..,Y41Ox,Diabetes mellitus
26664,2G5B.00,O/E - Left diabetic foot at risk,Diabetes (uncomplicated),1,XaBLg,YaafR,O/E - Left diabetic foot at risk
44312,9M10.00,Informed dissent for diabetes national audit,Diabetes (uncomplicated),1,XaJrE,YamyL,Informed dissent for diabetes national audit
24490,C100000,"Diabetes mellitus, juvenile type, no mention of complication",Diabetes (uncomplicated),1,XE10E,Y41PR,"Diabetes mellitus, juvenile type, no mention of complication"
97809,8I82.00,Did not complete DAFNE diabetes structured education program,Diabetes (uncomplicated),1,XaNTe,YaqVW,Did not complete DAFNE diabetes structured education program
107452,66o..00,Further diabetic monitoring,Diabetes (uncomplicated),1,66o..,005tY,Further diabetic monitoring
11977,ZL62500,Referral to diabetes nurse,Diabetes (uncomplicated),1,XaE46,YaeJx,Referral to diabetes nurse
68546,ZRB4.00,Diabetes clinic satisfaction questionnaire,Diabetes (uncomplicated),1,XM0cX,YM9UN,Diabetes clinic satisfaction questionnaire
19739,68A9.00,Diabetic retinopathy screening offered,Diabetes (uncomplicated),1,XaKaW,Yantl,Diabetic retinopathy screening offered
46577,66AX.00,Diabetes: shared care in pregnancy - diabetol and obstet,Diabetes (uncomplicated),1,XaIeo,Yal9m,Diabetes: shared care in pregnancy - diabetol and obstet
104374,67D8.00,Provision of diabetes clinical summary,Diabetes (uncomplicated),1,XaZCO,YavN1,Provision of diabetes clinical summary
28856,8CP2.00,Transition of diabetes care options discussed,Diabetes (uncomplicated),1,XaKHD,YanWT,Transition of diabetes care options discussed
2475,C104.11,Diabetic nephropathy,Diabetes (uncomplicated),1,X30Kk,Y31jS,Diabetic nephropathy
21689,13AB.00,Diabetic lipid lowering diet,Diabetes (uncomplicated),1,XaFvj,Yah6o,Diabetic lipid lowering diet
57389,93C4.00,Patient consent given for addition to diabetic register,Diabetes (uncomplicated),1,XaLMy,YaoS9,Patient consent given for addition to diabetic register
105740,2G5d.00,O/E - Left diabetic foot at increased risk,Diabetes (uncomplicated),1,XaX6K,YatzQ,O/E - Left diabetic foot at increased risk
61122,C10H.00,Diabetes mellitus induced by non-steroid drugs,Diabetes (uncomplicated),1,XaJUI,YamYC,Diabetes mellitus induced by non-steroid drugs
43857,C10M.00,Lipoatrophic diabetes mellitus,Diabetes (uncomplicated),1,C10M.,00F2Q,Lipoatrophic diabetes mellitus
28769,66AV.00,Diabetic on insulin and oral treatment,Diabetes (uncomplicated),1,XaEgI,YafEG,Diabetic on insulin and oral treatment
31171,2G5G.00,O/E - Right diabetic foot at high risk,Diabetes (uncomplicated),1,XaIeI,Yal95,O/E - Right diabetic foot at high risk
108634,9NJy.00,In-house diabetic foot screening,Diabetes (uncomplicated),1,XaaCR,Yaw4o,In-house diabetic foot screening
106269,9m0..00,Diabetic retinopathy screening administrative status,Diabetes (uncomplicated),1,XaPem,YasHH,Diabetic retinopathy screening administrative status
9958,42W..00,Hb. A1C - diabetic control,Diabetes (uncomplicated),1,XE24t,YM0ch,Hb. A1C - diabetic control
100533,66AQ000,Unsuitable for diabetes year of care programme,Diabetes (uncomplicated),1,XaQjs,YatID,Unsuitable for diabetes year of care programme
63371,C10y100,"Diabetes mellitus, adult, + other specified manifestation",Diabetes (uncomplicated),1,C10y1,Y41PO,"Diabetes mellitus, adult, + other specified manifestation"
8836,66AR.00,Diabetes management plan given,Diabetes (uncomplicated),1,66AR.,YM9hE,Diabetes management plan given
94330,8H4e.00,Referral to diabetes special interest general practitioner,Diabetes (uncomplicated),1,XaON1,Yaqxz,Referral to diabetes special interest general practitioner
93631,9OLL.00,XPERT diabetes structured education programme completed,Diabetes (uncomplicated),1,XaNTD,YaqVA,XPERT diabetes structured education programme completed
11094,9NND.00,Under care of diabetic foot screener,Diabetes (uncomplicated),1,XaJO9,YamO9,Under care of diabetic foot screener
69163,8HTi.00,Referral to multidisciplinary diabetic clinic,Diabetes (uncomplicated),1,XaKzO,Yao59,Referral to multidisciplinary diabetic clinic
93380,C10N100,Cystic fibrosis related diabetes mellitus,Diabetes (uncomplicated),1,XaMzI,Yaq2i,Cystic fibrosis related diabetes mellitus
107793,9Oy0400,Diabetic foot screening invitation third letter,Diabetes (uncomplicated),1,XaZyM,Yavs5,Diabetic foot screening invitation third letter
55431,L180X00,"Pre-existing diabetes mellitus, unspecified",Diabetes (uncomplicated),1,L180X,00Id7,"Pre-existing diabetes mellitus, unspecified"
1549,C10E.00,Type 1 diabetes mellitus,Diabetes (uncomplicated),1,C10E.,00Ezx,Type 1 diabetes mellitus
97446,C108912,Type 1 diabetes mellitus maturity onset,Diabetes (uncomplicated),1,C10E9,00F0W,Type 1 diabetes mellitus maturity onset
61021,68AB.00,Diabetic digital retinopathy screening offered,Diabetes (uncomplicated),1,XaLsL,Yap05,Diabetic digital retinopathy screening offered
47341,8A12.00,Diabetic crisis monitoring,Diabetes (uncomplicated),1,8A12.,Y79fA,Diabetic crisis monitoring
13074,13B1.00,Diabetic diet,Diabetes (uncomplicated),1,13B1.,Y7Dqz,Diabetic diet
14050,42c..00,HbA1 - diabetic control,Diabetes (uncomplicated),1,XaCES,YabtV,HbA1 - diabetic control
50609,L180600,"Pre-existing diabetes mellitus, non-insulin-dependent",Diabetes (uncomplicated),1,L1806,YMAow,"Pre-existing diabetes mellitus, non-insulin-dependent"
13057,679L.00,Health education - diabetes,Diabetes (uncomplicated),1,XaJ7D,Yam04,Health education - diabetes
18824,8I3W.00,Diabetic foot examination declined,Diabetes (uncomplicated),1,XaJix,Yamo2,Diabetic foot examination declined
108993,661M400,Diabetes self-management plan agreed,Diabetes (uncomplicated),1,XaYbB,Yauv1,Diabetes self-management plan agreed
9145,9N4I.00,DNA - Did not attend diabetic clinic,Diabetes (uncomplicated),1,9N4I.,00CHp,DNA - Did not attend diabetic clinic
54419,918T.00,Diabetes key contact,Diabetes (uncomplicated),1,XaJSv,YamVq,Diabetes key contact
25041,ZC2CA00,Dietary advice for type II diabetes,Diabetes (uncomplicated),1,Xa2hA,Ya4hF,Dietary advice for type II diabetes
